dominio_hashed,veredicto,raw_output,sector,ciudad,comunidad
34580de46a0c4075e25eec5e4b15f2bd2126790cb3378447eb0aeb714bdf3955,Suplantación NO es posible,b1f5ca7d081fc4a8f2d71644cbedc952827b09fabad1c323db05fc269c3321fa,['management consulting'],Madrid,Comunidad de Madrid
41beb7f38e5f6e1da8ef80ee799f3c0d6ea695fb5cab8ddd17f132b0bc28a892,Suplantación posible,1e7d23049cc161cbf2eb4567c2c213456cf18224e92736fc85d2bdb787d890bb,['management consulting'],Madrid,Comunidad de Madrid
91db045c6d024641f8363bfe89a8b504046082a2f444e0f9e1638bdab983a48e,Suplantación posible,a48c5b18e1bdbfcf289029075aa75db52faacebcbc350f9841e641d0dcad1a1a,['management consulting'],Madrid,Comunidad de Madrid
fc47fd745b2a3c0cf545157c5a6d6f23b720d3d266bb1dcd038f776d37c36bcf,Suplantación posible,a882a7d888a1fec83a6a2b2eb05dc7b783c7fe2e8b56ba57ff5cdb665207da79,['management consulting'],Madrid,Comunidad de Madrid
3ccf9dddc26f4ba6668e10f7a0c9013d656b16ed96eae66c948fce9b6ceac45f,Suplantación quizá es posible,9581e18e6d3c1fc5e3337d0482e4e9b92b18a37f3542d670aa9e30dac1f16462,['management consulting'],Madrid,Comunidad de Madrid
6db641df626181e901085e7eba11a0d8cffba4540ebcabeb6841869e0ac38950,Suplantación posible,a321392cce17f86aedc7936668cc6712e1fb4ab3b62e82bbba28c75edae0e811,['design'],Madrid,Community of Madrid
7247111b3bb758d7e63054fe2f592bbcd3522a378274a94847bff407c99f1e2e,Suplantación NO es posible,fd2d356cc9fa63a52eb472029708bf5c4c7339dc914b2fc089c6aaff452a12d4,['pharmaceuticals'],Seville,Andalusia
72f8f0fbf99e4e5cb045102b29c3c6b1e8895be7cf88968057d003c1d58e0ff4,Suplantación NO es posible,54c2a85ae86bd11cb4015b43f8ad5b0750ae680c17fb11b10ac635a7986d3698,['pharmaceuticals'],Seville,Andalusia
8f2002587843319dacbb0eab16b17801459860bb568cb4645c0a218834b2fdc7,Suplantación NO es posible,4bdb5c2a1c65fbc07e7455374ae92cc72f7527cf2e3b1b0db15b2732227bdc1e,['pharmaceuticals'],Seville,Andalusia
fe88d2f8c0851d83e61bbd7c2bd97ca106f777ef80980029767abae4ba08c0c9,Suplantación posible,75fd6dc53ead32016f2c009bd52644efd251fca6617cff4cb331c517bdbc3fe7,['pharmaceuticals'],Seville,Andalusia
6014ba67a6f2289ce5382131524840adb41bc7ae07d7bccd490d414962c0dcb3,Suplantación posible,9b4b1c304ca2732353b3cee0ee6e5b8edfc780246daac21efff741c93eb170e6,['pharmaceuticals'],Seville,Andalusia
b08c3f2a95dd0b805070c6cb3ff5f413e684947ff3dc92c3a36fa006d166d742,Suplantación NO es posible,2ae8871427e40f4b6fe8abb9e3a5f5225af35d96f219166c4d83ec384de9f92d,['pharmaceuticals'],Seville,Andalusia
9964e549383a021430c02332ada16834c40d8cf315d37928d3de3fa8aeb7d8e8,Suplantación posible,2d18b9873e982f564624abc898d1170f1e957b186b48e9a3c6b1d95624e20381,['pharmaceuticals'],Seville,Andalusia
2831007473d5a3d12abb1efde4bf8e50dbfd928ebf7720056c19eb9f3ab6dd17,Suplantación posible,949bc2396c6815dc949bdcc14b939ea816cbca5499e70a59cc56f27ac0e1c474,['pharmaceuticals'],Seville,Andalusia
a630ba033c18053f57e8c5dcfac2dcacb060bbe76947c6588c29c56f6ec33d09,Suplantación NO es posible,936c37688d75af5044a5a54a6c7bf61e54e190f203b53917e67b4066a66de939,['pharmaceuticals'],Seville,Andalusia
250e8c5b28b34a833ad047bf244bef044f4ae9e79e2a43eba2e75b20f42c4719,Suplantación posible,76d853c19050d80c133b11d8399cf3bce433cba363b71fb1a416ac1a11f99955,['pharmaceuticals'],Seville,Andalusia
